Gene,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA tissue cell type enrichment
NANOS1,Tissue enhanced,Detected in many,,skeletal muscle: 37.2,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast)"
NANOS2,Tissue enriched,Detected in single,21,testis: 3.5,Testis - Spermatogonia
NANOS3,Group enriched,Detected in some,9,brain: 2.9;testis: 4.0,Testis - Spermatogonia
NAP1L2,Tissue enriched,Detected in many,4,brain: 82.1,"Adipose subcutaneous - Smooth muscle cells, Thyroid - Thyroid glandular cells"
NAP1L3,Tissue enhanced,Detected in many,,brain: 123.6,"Colon - Colon enteroendocrine cells, Liver - Hepatic stellate cells, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Testis - Sertoli cells"
NAP1L5,Tissue enhanced,Detected in all,,brain: 104.6,Thyroid - Thyroid glandular cells
NAPB,Group enriched,Detected in all,7,brain: 199.3;retina: 149.4,
NAPRT,Tissue enhanced,Detected in many,,liver: 61.5,"Stomach - Gastric mucous cells, Testis - Early spermatids"
NAPSA,Tissue enriched,Detected in many,11,lung: 1011.1,"Kidney - Proximal tubular cells, Lung - Alveolar cells type 2, Testis - Early spermatids, Testis - Late spermatids"
NAT14,Tissue enhanced,Detected in all,,brain: 60.7,
NAT16,Group enriched,Detected in some,8,brain: 4.6;pancreas: 2.2;pituitary gland: 3.5;retina: 6.7;thyroid gland: 1.7,"Pancreas - Alpha cells, Pancreas - Beta cells"
NAT2,Group enriched,Detected in some,42,intestine: 32.5;liver: 124.6,Colon - Colon enterocytes
NAT8,Tissue enriched,Detected in some,9,kidney: 705.1,"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes"
NAT8B,Group enriched,Detected in some,24,intestine: 48.0;kidney: 33.6,"Kidney - Proximal tubular cells, Liver - Hepatocytes"
NAT8L,Group enriched,Detected in many,4,adipose tissue: 42.0;brain: 35.8,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Colon - Colon enteroendocrine cells, Kidney - Ascending Loop of Henle cells, Skin - Adipocytes (Skin), Testis - Sertoli cells"
NATD1,Tissue enhanced,Detected in all,,skeletal muscle: 38.7,"Adipose subcutaneous - Adipocytes (Subcutaneous), Breast - Adipocytes (Breast)"
NAV2,Tissue enhanced,Detected in many,,heart muscle: 59.0,
NAV3,Tissue enhanced,Detected in many,,brain: 15.8;ovary: 14.7,"Liver - Hepatic stellate cells, Prostate - Fibroblasts, Thyroid - Fibroblasts"
NBEA,Group enriched,Detected in many,6,brain: 27.9;retina: 62.0,Liver - Hepatic stellate cells
NBL1,Tissue enhanced,Detected in all,,cervix: 654.3,"Breast - Fibroblasts, Heart muscle - Fibroblasts, Liver - Vascular Endothelial cells, Lung - Fibroblast_1"
NBPF12,Tissue enhanced,Detected in all,,pancreas: 56.2,
NBPF3,Tissue enhanced,Detected in many,,testis: 9.4,Testis - Early spermatids
NBPF4,Group enriched,Detected in some,4,intestine: 1.1;testis: 4.3,"Breast - Breast glandular cells, Testis - Early spermatids"
NBPF6,Tissue enhanced,Detected in some,,liver: 2.7;testis: 2.6,"Breast - Breast glandular cells, Testis - Early spermatids"
NCALD,Tissue enhanced,Detected in all,,brain: 113.5;salivary gland: 97.5,"Skin - Eccrine sweat gland cells, Thyroid - Fibroblasts"
NCAM1,Tissue enhanced,Detected in many,,brain: 193.9;heart muscle: 140.8,"Adipose subcutaneous - Smooth muscle cells, Kidney - Fibroblasts, Liver - Hepatic stellate cells"
NCAM2,Tissue enhanced,Detected in many,,adrenal gland: 11.6;brain: 40.2,"Skeletal muscle - Fibroblasts, Testis - Sertoli cells, Thyroid - Fibroblasts"
NCAN,Tissue enriched,Detected in some,86,brain: 102.1,"Colon - Colon enteroendocrine cells, Testis - Spermatocytes, Testis - Spermatogonia"
NCAPD2,Tissue enhanced,Detected in all,,lymphoid tissue: 74.7,"Skin - Mitotic cells (Skin), Testis - Spermatocytes"
NCAPD3,Group enriched,Detected in all,4,lymphoid tissue: 17.8;prostate: 54.2,
NCAPG,Tissue enhanced,Detected in some,,bone marrow: 13.7;lymphoid tissue: 15.4,"Colon - Mitotic cells (Colon), Heart muscle - Mitotic cells (Heart), Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Stomach - Mitotic cells (Stomach), Testis - Spermatocytes, Thyroid - Mitotic cells (Thyroid)"
NCAPG2,Tissue enhanced,Detected in all,,bone marrow: 24.1;lymphoid tissue: 27.2,"Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Testis - Spermatocytes"
NCAPH,Tissue enhanced,Detected in many,,bone marrow: 34.8;lymphoid tissue: 36.4;testis: 34.3,"Colon - Mitotic cells (Colon), Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Stomach - Mitotic cells (Stomach), Testis - Early spermatids, Testis - Spermatocytes, Thyroid - Mitotic cells (Thyroid)"
NCBP2L,Tissue enhanced,Detected in some,,adrenal gland: 1.0;testis: 2.5,"Testis - Early spermatids, Testis - Late spermatids"
NCCRP1,Tissue enhanced,Detected in many,,esophagus: 440.7;skin 1: 264.5;vagina: 176.2,"Kidney - Intercalated cells, Prostate - Urothelial cells, Skin - Keratinocyte (granular)"
NCDN,Tissue enriched,Detected in all,24,brain: 891.0,"Adipose visceral - Adipose progenitor cells, Colon - Colon enteroendocrine cells"
NCF1,Tissue enhanced,Detected in many,,bone marrow: 88.3;lymphoid tissue: 95.1,Kidney - T-cells
NCF2,Tissue enhanced,Detected in many,,bone marrow: 124.7;lung: 63.0;lymphoid tissue: 76.1,"Adipose subcutaneous - Macrophages, Breast - Macrophages, Colon - Macrophages, Liver - Neutrophils, Lung - Neutrophil_2, Prostate - Macrophages, Testis - Macrophages"
NCF4,Tissue enhanced,Detected in many,,bone marrow: 178.2;lymphoid tissue: 158.5,"Breast - Macrophages, Lung - Neutrophil_2, Skeletal muscle - Macrophages, Stomach - Macrophages, Testis - Macrophages"
NCKAP1L,Tissue enhanced,Detected in many,,lymphoid tissue: 43.8,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Macrophages, Heart muscle - Macrophages, Liver - Kupffer cells, Pancreas - Macrophages, Skeletal muscle - Macrophages, Stomach - Macrophages"
NCKAP5,Tissue enhanced,Detected in many,,lung: 11.1,"Adipose subcutaneous - Endothelial cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Alveolar cells type 1, Skeletal muscle - Fibroblasts, Thyroid - Fibroblasts"
NCKIPSD,Tissue enhanced,Detected in all,,parathyroid gland: 117.8,
NCMAP,Tissue enhanced,Detected in many,,gallbladder: 7.1;pancreas: 8.3;salivary gland: 7.6,"Liver - Hepatocytes, Lung - Alveolar cells type 2, Pancreas - Ductal cells"
NCR1,Tissue enriched,Detected in single,4,lymphoid tissue: 3.4,"Liver - NK-cells (Liver), Lung - NK-cells (Lung), Thyroid - T-cells"
NCR3,Group enriched,Detected in some,5,bone marrow: 4.0;intestine: 5.5;lymphoid tissue: 15.8,"Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Colon - T-cells, Heart muscle - T-cells, Lung - NK-cells (Lung), Thyroid - T-cells"
NCR3LG1,Tissue enhanced,Detected in many,,brain: 6.2;parathyroid gland: 7.2,"Testis - Early spermatids, Testis - Late spermatids"
NCS1,Tissue enhanced,Detected in all,,brain: 359.2,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Breast - Smooth muscle cells, Colon - Smooth muscle cells, Lung - Smooth muscle cells, Prostate - Smooth muscle cells, Testis - Spermatogonia, Thyroid - Thyroid glandular cells"
NDC80,Tissue enhanced,Detected in many,,bone marrow: 30.8;lymphoid tissue: 28.5,"Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Stomach - Mitotic cells (Stomach), Testis - Early spermatids"
NDNF,Tissue enhanced,Detected in many,,lung: 103.2;placenta: 58.1;retina: 55.7,"Heart muscle - Endothelial cells, Kidney - Podocytes, Liver - Vascular Endothelial cells, Lung - Alveolar cells type 1, Prostate - Fibroblasts, Testis - Early spermatids, Testis - Late spermatids"
NDP,Tissue enhanced,Detected in many,,brain: 30.8;ovary: 32.8,
NDRG2,Tissue enhanced,Detected in all,,brain: 2088.5;salivary gland: 2014.6;skeletal muscle: 1758.6,"Heart muscle - Cardiomyocytes, Kidney - Fibroblasts, Liver - Hepatocytes, Skin - Eccrine sweat gland cells"
NDRG3,Tissue enhanced,Detected in all,,brain: 152.5;retina: 111.1,"Testis - Early spermatids, Testis - Late spermatids"
NDRG4,Tissue enhanced,Detected in many,,brain: 365.3;heart muscle: 341.2,"Adipose subcutaneous - Adipocytes (Subcutaneous), Colon - Colon enteroendocrine cells, Heart muscle - Cardiomyocytes, Pancreas - Alpha cells, Pancreas - Beta cells, Testis - Sertoli cells"
NDST3,Tissue enhanced,Detected in some,,brain: 5.3;lymphoid tissue: 2.8;retina: 2.6,Kidney - Ascending Loop of Henle cells
NDUFA10,Tissue enhanced,Detected in all,,tongue: 318.9,"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Testis - Sertoli cells"
NDUFA12,Tissue enhanced,Detected in all,,skeletal muscle: 537.5;tongue: 543.6,Testis - Early spermatids
NDUFA3,Tissue enhanced,Detected in all,,heart muscle: 606.2,"Heart muscle - Cardiomyocytes, Testis - Late spermatids"
NDUFA4,Tissue enhanced,Detected in all,,tongue: 627.2,"Colon - Smooth muscle cells, Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes"
NDUFA4L2,Tissue enhanced,Detected in many,,esophagus: 296.3,"Breast - Endothelial cells, Heart muscle - Fibroblasts, Prostate - Endothelial cells"
NDUFA5,Tissue enhanced,Detected in all,,tongue: 387.9,"Heart muscle - Cardiomyocytes, Thyroid - Thyroid glandular cells"
NDUFA8,Tissue enhanced,Detected in all,,heart muscle: 366.8,"Heart muscle - Cardiomyocytes, Testis - Early spermatids"
NDUFAB1,Tissue enhanced,Detected in all,,heart muscle: 569.9,Heart muscle - Cardiomyocytes
NDUFAF3,Tissue enhanced,Detected in all,,testis: 320.7,"Adipose subcutaneous - Adipocytes (Subcutaneous), Heart muscle - Cardiomyocytes, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Thyroid glandular cells"
NDUFAF5,Tissue enhanced,Detected in many,,skeletal muscle: 19.7,"Heart muscle - Cardiomyocytes, Testis - Early spermatids"
NDUFAF7,Tissue enhanced,Detected in all,,testis: 37.6,Testis - Early spermatids
NDUFB10,Group enriched,Detected in all,5,heart muscle: 749.9;skeletal muscle: 1253.9;tongue: 973.2,"Heart muscle - Cardiomyocytes, Testis - Early spermatids, Testis - Late spermatids"
NDUFB11,Tissue enhanced,Detected in all,,skeletal muscle: 681.0,"Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Thyroid - Thyroid glandular cells"
NDUFB3,Tissue enhanced,Detected in all,,skeletal muscle: 678.9;tongue: 696.4,"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Testis - Early spermatids"
NDUFB4,Tissue enhanced,Detected in all,,skeletal muscle: 914.0,"Heart muscle - Cardiomyocytes, Testis - Early spermatids"
NDUFB9,Tissue enhanced,Detected in all,,skeletal muscle: 1269.4;tongue: 1427.0,"Adipose visceral - Adipocytes (Visceral), Heart muscle - Cardiomyocytes"
NDUFC1,Group enriched,Detected in all,6,heart muscle: 79.7;skeletal muscle: 258.9;tongue: 152.8,"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Testis - Early spermatids, Thyroid - Thyroid glandular cells"
NDUFS1,Tissue enhanced,Detected in all,,heart muscle: 175.7;skeletal muscle: 213.7;tongue: 216.5,"Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes"
NDUFS2,Tissue enhanced,Detected in all,,skeletal muscle: 448.2;tongue: 608.9,"Heart muscle - Cardiomyocytes, Liver - Hepatocytes"
NDUFS3,Tissue enhanced,Detected in all,,skeletal muscle: 282.0,Heart muscle - Cardiomyocytes
NDUFS6,Tissue enhanced,Detected in all,,skeletal muscle: 594.2,"Heart muscle - Cardiomyocytes, Testis - Early spermatids, Testis - Late spermatids"
NDUFS7,Tissue enhanced,Detected in all,,skeletal muscle: 641.7,"Heart muscle - Cardiomyocytes, Testis - Early spermatids, Testis - Late spermatids"
NDUFV2,Tissue enhanced,Detected in all,,skeletal muscle: 585.8,"Heart muscle - Cardiomyocytes, Testis - Early spermatids"
NDUFV3,Tissue enhanced,Detected in all,,skeletal muscle: 84.9,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Testis - Early spermatids, Testis - Late spermatids"
NEB,Group enriched,Detected in many,61,skeletal muscle: 7398.4;tongue: 2262.8,
NEBL,Tissue enriched,Detected in many,7,heart muscle: 301.0,"Adipose visceral - Mesothelial cells, Heart muscle - Cardiomyocytes, Lung - Alveolar cells type 1, Testis - Early spermatids, Testis - Late spermatids"
NECAB1,Group enriched,Detected in many,4,brain: 54.7;choroid plexus: 16.4,"Lung - Alveolar cells type 2, Prostate - Smooth muscle cells"
NECAB2,Tissue enriched,Detected in many,6,brain: 168.6,"Colon - Colon enteroendocrine cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Pancreas - Alpha cells, Stomach - Gastric enteroendocrine cells"
NECAP1,Tissue enhanced,Detected in all,,brain: 66.9,
NECTIN1,Tissue enhanced,Detected in all,,esophagus: 125.1;skin 1: 130.9,Breast - Breast myoepithelial cells
NECTIN3,Tissue enhanced,Detected in many,,testis: 53.0,"Liver - Hepatocytes, Testis - Early spermatids, Thyroid - Thyroid glandular cells"
NECTIN4,Tissue enhanced,Detected in many,,esophagus: 96.1;skin 1: 110.2;vagina: 55.6,"Lung - Alveolar cells type 2, Skin - Keratinocyte (other), Stomach - Gastric mucous cells"
NEDD4,Tissue enhanced,Detected in many,,skeletal muscle: 65.1;tongue: 55.8,"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Lung - Endothelial cells"
NEDD8-MDP1,Tissue enhanced,Detected in some,,skeletal muscle: 1.2;testis: 1.3,
NEFH,Group enriched,Detected in many,4,brain: 95.6;prostate: 237.7,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Colon - Colon enteroendocrine cells, Lung - Macrophages, Prostate - Prostate glandular cells"
NEFL,Group enriched,Detected in many,8,brain: 183.3;retina: 86.8,"Colon - Colon enteroendocrine cells, Testis - Spermatogonia"
NEFM,Group enriched,Detected in many,8,brain: 343.8;retina: 88.0,"Colon - Colon enteroendocrine cells, Skin - Outer root sheath cells, Testis - Early spermatids, Testis - Late spermatids"
NEGR1,Tissue enhanced,Detected in many,,brain: 32.3,"Heart muscle - Fibroblasts, Kidney - Fibroblasts, Lung - Fibroblast_1, Pancreas - Fibroblasts, Prostate - Fibroblasts, Thyroid - Fibroblasts"
NEIL3,Group enriched,Detected in some,6,bone marrow: 6.5;lymphoid tissue: 23.0,"Colon - Mitotic cells (Colon), Heart muscle - Mitotic cells (Heart), Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Stomach - Mitotic cells (Stomach), Testis - Spermatocytes, Testis - Spermatogonia, Thyroid - Mitotic cells (Thyroid)"
NEK10,Tissue enhanced,Detected in many,,testis: 34.3;tongue: 14.1,"Heart muscle - Cardiomyocytes, Lung - Respiratory ciliated cells, Skeletal muscle - Skeletal myocytes, Testis - Early spermatids"
NEK11,Tissue enhanced,Detected in many,,choroid plexus: 43.1,"Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Thyroid glandular cells"
NEK2,Group enriched,Detected in many,5,bone marrow: 17.5;lymphoid tissue: 18.7;testis: 65.2,"Colon - Mitotic cells (Colon), Heart muscle - Mitotic cells (Heart), Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Stomach - Mitotic cells (Stomach), Testis - Early spermatids, Thyroid - Mitotic cells (Thyroid)"
NEK4,Tissue enhanced,Detected in all,,testis: 44.6,"Testis - Early spermatids, Testis - Spermatocytes, Thyroid - Thyroid glandular cells"
NEK5,Tissue enhanced,Detected in some,,fallopian tube: 8.4;testis: 10.4,"Adipose visceral - Mesothelial cells, Lung - Respiratory ciliated cells, Testis - Early spermatids"
NEK6,Tissue enhanced,Detected in all,,liver: 66.5,"Skin - Endothelial cells, Testis - Spermatogonia"
NEK7,Tissue enhanced,Detected in all,,heart muscle: 135.4,
NELL1,Tissue enhanced,Detected in some,,brain: 13.2;kidney: 16.1,"Adipose visceral - Mesothelial cells, Colon - Colon enteroendocrine cells, Stomach - Fibroblasts, Testis - Early spermatids, Testis - Late spermatids"
NELL2,Tissue enhanced,Detected in many,,brain: 121.3;choroid plexus: 123.3;retina: 82.6,"Adipose visceral - Mesothelial cells, Colon - Colon enteroendocrine cells, Lung - Respiratory ciliated cells, Skin - Outer root sheath cells, Testis - Spermatogonia"
NES,Tissue enhanced,Detected in many,,heart muscle: 156.0,
NETO1,Group enriched,Detected in some,10,brain: 26.3;retina: 33.5,Testis - Spermatogonia
NETO2,Tissue enhanced,Detected in many,,lymphoid tissue: 22.1,"Heart muscle - Endothelial cells, Kidney - Endothelial cells, Liver - Vascular Endothelial cells, Testis - Spermatogonia"
NEU2,Tissue enriched,Detected in single,20,skin 1: 1.9,
NEU4,Tissue enriched,Detected in some,5,liver: 74.0,"Colon - Colon enterocytes, Kidney - Ascending Loop of Henle cells"
NEURL1,Tissue enhanced,Detected in many,,brain: 67.4;skeletal muscle: 140.2;tongue: 57.4,"Colon - Colon enterocytes, Testis - Late spermatids, Thyroid - Parafollicular cells"
NEURL2,Tissue enhanced,Detected in all,,kidney: 25.9,
NEURL3,Group enriched,Detected in some,5,kidney: 15.7;pancreas: 24.4;salivary gland: 29.4,Skin - Eccrine sweat gland cells
NEUROD1,Group enriched,Detected in some,14,brain: 162.6;retina: 137.5,"Pancreas - Alpha cells, Pancreas - Beta cells, Stomach - Gastric enteroendocrine cells, Testis - Early spermatids"
NEUROD2,Tissue enriched,Detected in single,82,brain: 64.9,
NEUROD4,Group enriched,Detected in some,11,pituitary gland: 7.9;retina: 29.3,"Testis - Early spermatids, Testis - Late spermatids"
NEUROD6,Tissue enriched,Detected in single,128,brain: 38.0,
NEUROG2,Tissue enhanced,Detected in some,,brain: 2.1;testis: 1.6,Testis - Early spermatids
NEUROG3,Group enriched,Detected in some,14,brain: 2.7;intestine: 2.5,Adipose visceral - Macrophages
NEXMIF,Tissue enhanced,Detected in some,,brain: 3.0,
NEXN,Group enriched,Detected in many,6,heart muscle: 390.5;skeletal muscle: 652.7;tongue: 527.5,"Colon - Smooth muscle cells, Liver - Hepatic stellate cells, Prostate - Smooth muscle cells"
NFAM1,Tissue enhanced,Detected in many,,bone marrow: 30.5;lymphoid tissue: 19.5,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Macrophages, Colon - Macrophages, Liver - Kupffer cells, Stomach - Macrophages"
NFASC,Tissue enhanced,Detected in many,,brain: 33.3,"Adipose subcutaneous - Smooth muscle cells, Liver - Hepatic stellate cells"
NFATC1,Tissue enhanced,Detected in many,,choroid plexus: 34.8,Testis - Spermatogonia
NFATC3,Tissue enhanced,Detected in all,,lymphoid tissue: 99.4,Testis - Early spermatids
NFE2,Group enriched,Detected in many,6,bone marrow: 111.0;lymphoid tissue: 44.2,"Adipose visceral - Neutrophils, Colon - Neutrophils, Heart muscle - Neutrophils, Liver - Neutrophils, Lung - Neutrophil_2, Skin - Keratinocyte (granular), Stomach - Neutrophils, Testis - Late spermatids"
